Tomasz Karolak
Maria Skłodowska-Curie
Winston Churchill
Thomas Edison
William Shakespeare
Smerf Maruda
Johny Deep
Pati Smith
Harison Ford
Albert Einstein
Orlando Bloom
Kaczor Donald
Smerfetka 
Król Julian 
Reksio 
Izabela Trojanowska
Gall Anonim
Tadeusz Różewicz
Czesław Niemen 
Elon Musk
Vasco da Gamma
Napoleon
Kazimierz Wielki
Martin Luter 
Dalajlama
Aleksander Wielki 
Franklin Delano Roosevelt
Neron
Shakira
Britney Spears
Marilyn Monroe
Brutus
Królowa Elżbieta
Caryca Katarzyna
Justin Bieber
Morgan Freeman
William Sadler 
Pitagoras
George Clooney
Leonardo Di Caprio
Margaret Thatcher
Daniel-Andre Tande
Marta Żmuda- Trzebiatowska
Alfred Nobel
Nicki Minaj
Karol Wojtyła
Bartosz Zmarzlik 
Tomasz Gollob 
Gal Gadot
Tom Hanks
Doctor Dolittle
Forrest Gump
Katarzyna Cichopek
Miley Cyrus
Demi Moore 
Beata Kozidrak 
Antman
Bil Gates
Cristiano Ronaldo
Kylian Mbappé
Leo Messi
Mike Tyson
Marek Piekarczyk
Usain Bolt 
Nikola Tesla
Maciej Musiał
Robert Korzeniowski
Diego Maradona 
Pele 
Sokrates
Robert Makłowicz
Adam Małysz 
Jane Ahonen
Jan Długosz
Zinedine Zidane 
Justyna Steczkowska
Michał Anioł
Justyna Kowalczyk 
Kazimierz Deyna 
Pluto
Adam Mickiweicz
Garfield
Magdalena Boczarska
Hermione Granger
Spiderman
Darth Vader
Jack Sparow
Shrek
Ferdynant Magellan
Stefan Czarniecki 
Arystotelas
Leonadro Da Vinci
Heinrich Himmler
Ernest Hemingway
Mick Jagger
Henryk Sienkiewicz
Ernesto Che Guevara
Bambi
Dorota Welman 
Freddie Mercury
Fredrik Lindgren
Adam Lambert
Batman
Robin Hood
Lara Croft
Jonasz Kofta
Mark Knopfler 
Marek Grechuta
Mikołaj Rej 
Michael Schumacher
Irena Kwiatkowska
Laluś 
Jimi Hendrix
Jenifer Lopez
Tamara Arciuch
Bartłomiej Topa
Karol Darwin
Mikołaj Kopernik
Mahomet
Zbigniew Ziobro
Osama Bin Laden
Michael Jackson
Mandaryna
Kasia Cerekwicka
Tadeusz Norek
Platon
Arystoteles
Jan Długosz
Kazimierz Przerwa-Tetmajer
Sam Smith
Krzysztof Grabowski
Adele
Ariana Grande
Miś Uszatek 
Miś Yogi
Violetta Villas
John Bon Jovi
John Travolta
Halle Berry
Ed Sheeran
Barack Obama
Julia Żugaj
Jan Komasa
Pascal Brodnicki
Michel Moran
Apoloniusz Tajner
Mała Mi
Zeus
Till Lidemann
Pola Raksa
Lech Wałęsa
Jan Matejko
Isaac Newton
Harry Potter 
Hagrid
Mieszko I
Irena Santor
Anna Maria Jopek
Armand Duplantis
Zbigniew Wodecki
Wilfredo Leon
Michał Winiarski
Olga Kalicka
Jadwiga Barańska
Janusz Gajos
Pierce Brosnan
Bill Clinton
Luciano Pavarotti
Indira Gandhi
Pablo Escobar
Pablo Picasso
Vital Heynen
Novak Djoković
Hubert Hurkacz
Barbra Streisand
Dionizos
Herkules
Herakles
Janosik
Franciszek Żwirko
Andrzej Kmicic
Tadeusz Łomnicki
Antek Boryna
Małgorzata Kożuchowska 
Sylwia Grzeszczak
Maryla Rodowicz
Marlon Brandon 
Orlando Bloom
Pinokio 
Mustafa
Imagine Dragons
Coldplay
Leny Kravitz
Prince
Tina Turner
Tomasz Niecik
Urszula Dudziak 
Andrea Bocelli
Ronald Reagan 
Pamela Anderson
Kermit
Tadeusz Rydzyk
Artur Andrus
Piotr Żyła 
Piotr Frączewski
Dorota Gardias
Alphaville 
Bryan Adams 
Louis Armstrong 
Nirvana 
Cher 
Edith Piaf 
Iron Maiden 
Lady Punk 
Witalij Kliczko 
Papa Dance 
Ewa Bem 
Kamil Bednarek 
Grzegorz Lato 
Wisława Szymborska 
Królowa Bona 
Walt Disney 
Ace Ventura 
Baba Jaga 
John Rambo 
Weronika Rosati 
Kate Winslet 
Louis de Funes 
Priscilla Presley 
Quantin Tarantino 
Eddie Murphy 
Jean-Claude Van Damme 
Michael Douglas 
Ozzy Osbourne 
Joanna Krupa 
Yoko Ono 
AC/DC 
Bob Marley 
Kylie Minogue 
Krystyna Czubówna 
Jerzy Owsiak 
Jan Maria Rokita 
Kinga Rusin 
Ewa Minge 
Maciej Zień 
Aneta Kręglicka 
Nikodem Dyzma 
Rumcajs 
Neo 
Królewna Śnieżka 
Porucznik Colombo
Tom i Jerry 
Magda Gessler 
Elton John 
Metallica
U2
Iwona Pavlović 
Simba 
Snoopy 
Yeti 
Led Zeppelin 
Kurt Cobain 
Dr House 
Annie Lenox 
Jaś Fasola 
Roszpunka 
Janet Jackson 
Jim Morrison 
Kim Kardashian 
Kevin Costner 
Mel Gibson 
Jane Fonda 
James Bond 
Anita Włodarczyk 
Jolanta Fraszyńska 
Andrzej Wajda 
Beata Tyszkiewicz 
Eminem 
Deep Purple 
Whitney Houston 
Pink 
Black Eyed Peas 
Guns N'Roses 
Bolesław Prus 
Agnieszka Radwańska 
Władysław Reymont 
Rembrandt
Juliusz Słowacki 
Jan Brzechwa 
Anna Dereszowska 
Agata Młynarska 
Agnieszka Szulim 
Beyonce
The Beatles 
Depeche Mode 
Krzysztof Rutkowski 
Mariah Carey
Robbie Williams 
Iza Kuna 
Anna Dereszowska 
Piotr Adamczyk 
Wednesday
Scooby Doo
Antonio Vivaldi 
Ludwig van Bethowen 
Franek Kimono 
Bruce Lee
Agatha Christie
Scarlett O'Hara
Scarlet Johansson
Kazik Staszewski 
Ryszard Riedel
Ryszard Rynkowski 
Ryszard Kukliński 
Wojciech Jaruzelski 
Wojciech Cejrowski 
Krzysztof Cugowski 
Maciej Maleńczuk 
Daniel Obajtek
Bogusław Mec
Tabaluga
Pumba
Papasmerf 
Gargamel
Klakier 
Rudolph Valentino
Cezary Pazura
Jarosław Kaczyński
Ivan Komarenko
Świnka Peppa
Leonard Cohen
Pink Floyd 
Bolesław Leśmian
Quebonafide
Katarzyna Bonda 
Remigiusz Mróz 
Bracia Figo Fagot 
Angela Merkel 
Marek Kondrat 
Grzegorz Turnau 
Artur Rojek 
Felicjan Andrzejczak 
Bolek i Lolek
Madonna
Merry Spolsky 
Anna Grodzka
Enrique Iglesias
George Washington
Abraham Lincoln
Galileusz 
Archimedes
Michael Faraday
Niels Bohr
Michaił Gorbaczow
Nelson Mandela
Włodzimierz Lenin
Coco Chanel
Aretha Franklin
Frank Sinatra
Steven Spielberg
Matka Teresa z Kalkuty
Muhammad Ali
Niccolò Machiavelli
Phill Collins
George Michael
Doda 
